"UID","parkName","panoramaID","panoramaDate","year","direction"
"06QhiUeJxiGsQjexh9m01w","Memorial-South-Park","qHOfkxKW-b8vFBDPjbyEiw","May 2017","2017",271
"077UeLFT2t9BH4l4KQv6SQ","Adanac-Park","8ScqJ3jv1c08Wi6ygVYeJQ","Aug 2017","2017",166
"07AyWKAX1pPLP5guWFIJdw","Fraserlands-Park","QCA614R-M6Q64ES58ndc1Q","May 2017","2017",112
"07_-JGCfTbbHtU7yar_uJA","Connaught-Park","C4C-wYCtl77rgYp6twdCcw","May 2017","2017",1
"08Fnfnr3uC_Z9P5MH47ViQ","Morton-Park","nkjNbng5ndToEXywD2ZRRw","Jun 2017","2017",50
"09K2Rl0FIjXRfwJrUcjbDQ","Hillcrest-Park","RQU7CX-maDRCOjDVQ8BBeg","May 2017","2017",91
"09MJ-pQnyP7hon8Byjb80A","Memorial-South-Park","AWzzprlREnY6eb2TO2vQYw","May 2017","2017",187
"0AwvVil1d5gUVLbJg25fhA","Woodland-Park","DyDeh2lMK-yVrO2IgzzpDA","Jun 2017","2017",284
"0BOXDyQqKs7ekf_NLnH7xw","Emery-Barnes-Park","PkvK8cbsLZ5lBJPxVn_qnA","May 2017","2017",167
"0C88euT0R_5cMcQ32dZtBw","Memorial-South-Park","9ZkoZbjK2EkVqPCfP41fjA","May 2017","2017",360
"0CWO9pzYtI-ALz37gI0zsg","Woodland-Park","6zuxUyX9CH4fCb5Hyhxiyw","May 2017","2017",273
"0Cn5VxVi4g9cfJe_kEC-7A","Connaught-Park","z4NFxGL7mkk0ZCMMF3VxcA","May 2017","2017",271
"0DY4x6uJ81ip5K6HJOjkSw","David-Lam-Park","YG5kPDs7wb8aCIle_pky2g","Jun 2017","2017",165
"0EIxwmvtOGz5HnNk00fPog","Mount-Pleasant-Park","1KbEUtAUcyP-aB_2UDqy-Q","Jun 2017","2017",192
"0EJEOSVQoyXvs8tuE3eLyw","Earles-Park","nCCbQi4xJoZh1tRPRAmW6Q","May 2017","2017",343
"0EhjTgaEDY-FEc0LYHWmKA","Nelson-Park","7GB4m-iiNce6p3qMpUf9Pw","Jun 2017","2017",99
"0FPApDYF_1MstU51eiWjug","Kaslo-Park","XgWO8DqAfNFoDVeenV7t9Q","Jun 2017","2017",173
"0Fcv5NQgyuqCRL0JaI3xzQ","Bobolink-Park","Mvpj7jpsesGK5Wxy87Pomw","May 2017","2017",276
"0Fmcke0IQUE27vx-0nFPJg","Grimmett-Park","M-Ll1uBQPVID0d-1KQmc2Q","May 2017","2017",180
"0GHcSvgy62VZ0lbM6Y8coQ","Quilchena-Park","dP8JIvUrMKnOEh08tHjIxg","Jun 2017","2017",272
"0GnNudRD7IX-_b8ZNhsF3A","Morton-Park","BPgLKq6Buki042N0xkEYnA","Jun 2017","2017",44
"0HCyhyz8dt6v6H4socqX1Q","Earles-Park","XKsumrsYxtXWLkfJ9Qu4BA","May 2017","2017",14
"0ICvBepQD_CVkj5Wos0r3Q","Adanac-Park","HBJGQrXF2sGeKQ8qcFqFpw","Aug 2017","2017",270
"0IEGK3plTrkzRpic6IwUsQ","Bobolink-Park","o8SLIrXToMu2Foh0WMs_ww","May 2017","2017",193
"0IH0SFKd2ej912sFDFm7WA","Emery-Barnes-Park","6V5vMWj-C1IQ3tI1SJunhA","Jun 2017","2017",233
"0KGky1GiV3qV8aujyU24gw","Memorial-South-Park","9ZkoZbjK2EkVqPCfP41fjA","May 2017","2017",9
"0KX_95lxeWH59_l_m-ubuw","Connaught-Park","z-B_GeJRPORViWkPJUF_yg","May 2017","2017",271
"0KdlZWF-A0Jf8jt3I1id0w","Woodland-Park","YZilCbDpcZlgS3vAmcHZxw","May 2017","2017",272
